TITLE     = ""
VARIABLES = "V1"
"V2"
"V3"
"V4"
TEXT
CS=FRAME
C=BLACK 
S=LOCAL
X=26.2517264011,Y=6.79851286128
HU=FRAME
LS=1 AN=LEFT
BXM=20 LT=0.1 BXO=BLACK BXF=WHITE 
F=HELV
H=6 A=0
MFC=""
T="0                                   10"
ZONE T="ZONE 001"
 I=1000, J=1, K=1,F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE )
 9.350000381E+000 -5.508100128E+001 -5.325199890E+001 1.829002380E+000
 9.399999619E+000 -5.488100052E+001 -5.307799911E+001 1.803001404E+000
 9.449999809E+000 -5.468000031E+001 -5.290399933E+001 1.776000977E+000
 9.500000000E+000 -5.447900009E+001 -5.272800064E+001 1.750999451E+000
 9.550000191E+000 -5.427600098E+001 -5.255199814E+001 1.724002838E+000
 9.600000381E+000 -5.407099915E+001 -5.237400055E+001 1.696998596E+000
 9.649999619E+000 -5.386500168E+001 -5.219400024E+001 1.671001434E+000
 9.699999809E+000 -5.365800095E+001 -5.201200104E+001 1.645999908E+000
 9.750000000E+000 -5.344800186E+001 -5.182799911E+001 1.620002747E+000
 9.800000191E+000 -5.323500061E+001 -5.164199829E+001 1.593002319E+000
 9.850000381E+000 -5.302000046E+001 -5.145199966E+001 1.568000793E+000
 9.899999619E+000 -5.280199814E+001 -5.125999832E+001 1.541999817E+000
 9.949999809E+000 -5.258000183E+001 -5.106399918E+001 1.516002655E+000
 1.000000000E+001 -5.235400009E+001 -5.086399841E+001 1.490001678E+000
 1.005000019E+001 -5.212300110E+001 -5.065900040E+001 1.464000702E+000
 1.010000038E+001 -5.188700104E+001 -5.045000076E+001 1.437000275E+000
 1.014999962E+001 -5.164599991E+001 -5.023400116E+001 1.411998749E+000
 1.019999981E+001 -5.139699936E+001 -5.001300049E+001 1.383998871E+000
 1.025000000E+001 -5.114199829E+001 -4.978400040E+001 1.357997894E+000
 1.030000019E+001 -5.087799835E+001 -4.954800034E+001 1.329998016E+000
 1.035000038E+001 -5.060400009E+001 -4.930199814E+001 1.302001953E+000
 1.039999962E+001 -5.031999969E+001 -4.904600143E+001 1.273998260E+000
 1.044999981E+001 -5.002299881E+001 -4.877899933E+001 1.243999481E+000
 1.050000000E+001 -4.971200180E+001 -4.849900055E+001 1.213001251E+000
 1.055000019E+001 -4.938600159E+001 -4.820399857E+001 1.182003021E+000
 1.060000038E+001 -4.904100037E+001 -4.789300156E+001 1.147998810E+000
 1.064999962E+001 -4.867499924E+001 -4.756200027E+001 1.112998962E+000
 1.069999981E+001 -4.828400040E+001 -4.720999908E+001 1.074001312E+000
 1.075000000E+001 -4.786600113E+001 -4.683100128E+001 1.034999847E+000
 1.080000019E+001 -4.741400146E+001 -4.642399979E+001 9.900016785E-001
 1.085000038E+001 -4.692399979E+001 -4.598199844E+001 9.420013428E-001
 1.089999962E+001 -4.638800049E+001 -4.549900055E+001 8.889999390E-001
 1.094999981E+001 -4.579800034E+001 -4.496900177E+001 8.289985657E-001
 1.100000000E+001 -4.514199829E+001 -4.438199997E+001 7.599983215E-001
 1.105000019E+001 -4.440599823E+001 -4.372700119E+001 6.789970398E-001
 1.110000038E+001 -4.357300186E+001 -4.298899841E+001 5.840034485E-001
 1.114999962E+001 -4.261999893E+001 -4.215100098E+001 4.689979553E-001
 1.119999981E+001 -4.151699829E+001 -4.118999863E+001 3.269996643E-001
 1.125000000E+001 -4.022299957E+001 -4.007300186E+001 1.499977112E-001
 1.130000019E+001 -3.868399811E+001 -3.876300049E+001 -7.900238037E-002
 1.135000038E+001 -3.682400131E+001 -3.720399857E+001 -3.799972534E-001
 1.139999962E+001 -3.454199982E+001 -3.532500076E+001 -7.830009460E-001
 1.144999981E+001 -3.169199944E+001 -3.302999878E+001 -1.337999344E+000
 1.150000000E+001 -2.807299995E+001 -3.018600082E+001 -2.113000870E+000
 1.155000019E+001 -2.340999985E+001 -2.662000084E+001 -3.210000992E+000
 1.160000038E+001 -1.735099983E+001 -2.211100006E+001 -4.760000229E+000
 1.164999962E+001 -9.524000168E+000 -1.640299988E+001 -6.878999710E+000
 1.169999981E+001 2.360000014E-001 -9.284999847E+000 -9.520999908E+000
 1.175000000E+001 1.131499958E+001 -7.860000134E-001 -1.210099983E+001
 1.180000019E+001 2.164100075E+001 8.451000214E+000 -1.319000053E+001
 1.185000038E+001 2.839200020E+001 1.689599991E+001 -1.149600029E+001
 1.189999962E+001 3.077599907E+001 2.272800064E+001 -8.047998428E+000
 1.194999981E+001 3.067099953E+001 2.534099960E+001 -5.329999924E+000
 1.200000000E+001 2.967300034E+001 2.570599937E+001 -3.967000961E+000
