TITLE     = ""
VARIABLES = "V1"
"V2"
"V3"
"V4"
TEXT
CS=FRAME
C=BLACK 
S=LOCAL
X=13.8952323241,Y=5.79320545209
HU=FRAME
LS=1 AN=LEFT
BXM=20 LT=0.1 BXO=BLACK BXF=WHITE 
F=HELV
H=5 A=0
MFC=""
T="0                                                              10"
TEXT
CS=FRAME
C=BLACK 
S=LOCAL
X=45.0271784401,Y=61.6514555726
HU=FRAME
LS=1 AN=LEFT
BXM=20 LT=0.1 BXO=BLACK BXF=WHITE 
F=HELV-BOLD
H=3 A=0
MFC=""
 1.060000038E+001 -5.265100098E+001 -4.954299927E+001 3.108001709E+000
 1.064999962E+001 -5.234500122E+001 -4.929100037E+001 3.054000854E+000
 1.069999981E+001 -5.204199982E+001 -4.904199982E+001 3.000000000E+000
 1.075000000E+001 -5.174200058E+001 -4.879700089E+001 2.944999695E+000
 1.080000019E+001 -5.144499969E+001 -4.855400085E+001 2.890998840E+000
 1.085000038E+001 -5.115100098E+001 -4.831499863E+001 2.836002350E+000
 1.089999962E+001 -5.085900116E+001 -4.807799911E+001 2.781002045E+000
 1.094999981E+001 -5.056999969E+001 -4.784299850E+001 2.727001190E+000
 1.100000000E+001 -5.028400040E+001 -4.761000061E+001 2.673999786E+000
 1.105000019E+001 -5.000000000E+001 -4.737799835E+001 2.622001648E+000
 1.110000038E+001 -4.971799850E+001 -4.714699936E+001 2.570999146E+000
 1.114999962E+001 -4.943700027E+001 -4.691600037E+001 2.520999908E+000
 1.119999981E+001 -4.915800095E+001 -4.668600082E+001 2.472000122E+000
 1.125000000E+001 -4.888000107E+001 -4.645500183E+001 2.424999237E+000
 1.130000019E+001 -4.860200119E+001 -4.622299957E+001 2.379001617E+000
 1.135000038E+001 -4.832400131E+001 -4.599000168E+001 2.333999634E+000
 1.139999962E+001 -4.804600143E+001 -4.575400162E+001 2.291999817E+000
 1.144999981E+001 -4.776599884E+001 -4.551599884E+001 2.250000000E+000
 1.150000000E+001 -4.748500061E+001 -4.527500153E+001 2.209999084E+000
 1.155000019E+001 -4.720100021E+001 -4.502999878E+001 2.171001434E+000
 1.160000038E+001 -4.691500092E+001 -4.477899933E+001 2.136001587E+000
 1.164999962E+001 -4.662400055E+001 -4.452299881E+001 2.101001740E+000
 1.169999981E+001 -4.632799911E+001 -4.425999832E+001 2.068000793E+000
 1.175000000E+001 -4.602600098E+001 -4.399000168E+001 2.035999298E+000
 1.180000019E+001 -4.571599960E+001 -4.370999908E+001 2.006000519E+000
 1.185000038E+001 -4.539799881E+001 -4.341999817E+001 1.978000641E+000
 1.189999962E+001 -4.507099915E+001 -4.311800003E+001 1.952999115E+000
 1.194999981E+001 -4.473099899E+001 -4.280199814E+001 1.929000854E+000
 1.200000000E+001 -4.437699890E+001 -4.247100067E+001 1.905998230E+000
 1.205000019E+001 -4.400699997E+001 -4.212099838E+001 1.886001587E+000
 1.210000038E+001 -4.361800003E+001 -4.175000000E+001 1.868000031E+000
 1.214999962E+001 -4.320800018E+001 -4.135400009E+001 1.854000092E+000
 1.219999981E+001 -4.277099991E+001 -4.093099976E+001 1.840000153E+000
 1.225000000E+001 -4.230300140E+001 -4.047399902E+001 1.829002380E+000
 1.230000019E+001 -4.179899979E+001 -3.997800064E+001 1.820999146E+000
 1.235000038E+001 -4.125199890E+001 -3.943700027E+001 1.814998627E+000
 1.239999962E+001 -4.065299988E+001 -3.884199905E+001 1.811000824E+000
 1.244999981E+001 -3.999300003E+001 -3.818299866E+001 1.810001373E+000
 1.250000000E+001 -3.925600052E+001 -3.744900131E+001 1.806999207E+000
 1.255000019E+001 -3.842800140E+001 -3.662300110E+001 1.805000305E+000
 1.260000038E+001 -3.748699951E+001 -3.568899918E+001 1.798000336E+000
 1.264999962E+001 -3.640499878E+001 -3.462500000E+001 1.779998779E+000
 1.269999981E+001 -3.514899826E+001 -3.340700150E+001 1.741996765E+000
 1.275000000E+001 -3.367800140E+001 -3.201100159E+001 1.666999817E+000
