  42.500  5.85E-0010  -32.4344  -37.5869
  42.750  6.04E-0010  -32.4485  -37.6035
  43.000  6.23E-0010  -32.4618  -37.6198
  43.250  6.43E-0010  -32.4744  -37.6356
  43.500  6.64E-0010  -32.4862  -37.6511
  43.750  6.83E-0010  -32.4973  -37.6661
  44.000  7.02E-0010  -32.5077  -37.6808
  44.250  7.19E-0010  -32.5174  -37.6950
  44.500  7.34E-0010  -32.5265  -37.7088
  44.750  7.48E-0010  -32.5349  -37.7221
  45.000  7.60E-0010  -32.5427  -37.7350
  45.250  7.70E-0010  -32.5499  -37.7474
  45.500  7.74E-0010  -32.5565  -37.7594
  45.750  7.74E-0010  -32.5625  -37.7709
  46.000  7.74E-0010  -32.5680  -37.7820
  46.250  7.73E-0010  -32.5730  -37.7926
  46.500  7.70E-0010  -32.5776  -37.8028
  46.750  7.63E-0010  -32.5816  -37.8125
  47.000  7.53E-0010  -32.5852  -37.8218
  47.250  7.39E-0010  -32.5883  -37.8307
  47.500  7.24E-0010  -32.5910  -37.8391
  47.750  7.07E-0010  -32.5934  -37.8471
  48.000  6.88E-0010  -32.5953  -37.8547
  48.250  6.68E-0010  -32.5969  -37.8619
  48.500  6.46E-0010  -32.5982  -37.8686
  48.750  6.23E-0010  -32.5991  -37.8750
  49.000  5.99E-0010  -32.5997  -37.8810
  49.250  5.73E-0010  -32.6001  -37.8867
  49.500  5.50E-0010  -32.6002  -37.8920
  49.750  5.13E-0010  -32.6000  -37.8969
  50.000  1.34E-0007  -32.6343  -37.9960
