 25.2000 -68.42429     0.00  -0.47808    26.07 
 25.3000 -69.04685     0.00  -0.29667    22.99 
 25.4000 -69.27663     0.00  -0.81590    20.05 
 25.5000 -69.28969     0.00  -0.42778    17.29 
 25.6000 -69.01262     0.00  -0.46576    14.73 
 25.7000 -68.69884     0.00  -0.30114    12.41 
 25.8000 -68.24584     0.00  -0.00442    10.33 
 25.9000 -68.28627     0.00  -0.20750     8.51 
 26.0000 -68.27082     0.00  -1.31357     6.92 
 26.1000 -68.60246     0.00  -0.92390     5.57 
 26.2000 -68.45563     0.00  -1.24369     4.43 
 26.3000 -68.78108     0.00  -1.29703     3.49 
 26.4000 -69.02585     0.00  -0.20862     2.72 
 26.5000 -69.07548     0.00  -0.53602     2.10 
 26.6000 -68.79910     0.00  -0.85848     1.61 
 26.7000 -68.96397     0.00  -0.68282     1.23 
 26.8000 -68.78454     0.00  -1.17324     0.93 
 26.9000 -68.53606     0.00  -1.56086     0.69 
 27.0000 -68.44134     0.00  -0.32421     0.00 
 27.1000 -68.65335     0.00  -0.66049     0.00 
 27.2000 -68.75571     0.00  -0.74861     0.00 
 27.3000 -68.76399     0.00  -0.67473     0.00 
 27.4000 -68.66716     0.00  -0.33443     0.00 
 27.5000 -68.71383     0.00  -0.84288     0.00 
 27.6000 -68.75058     0.00  -0.76556     0.00 
 27.7000 -68.63854     0.00  -0.61818     0.00 
 27.8000 -68.96809     0.00   0.15329     0.00 
 27.9000 -69.14275     0.00  -0.16054     0.00 
 28.0000 -68.66837     0.00  -0.68406     0.00 
 28.1000 -68.39510     0.00  -1.03288     0.00 
 28.2000 -68.57579     0.00  -0.89246     0.00 
 28.3000 -68.97413     0.00  -1.67915     0.00 
 28.4000 -69.76870     0.00  -1.23553     0.00 
 28.5000 -69.88268     0.00  -0.21793     0.00 
 28.6000 -69.79221     0.00  -0.46513     0.00 
 28.7000 -69.65875     0.00  -0.55370     0.00 
 28.8000 -69.92158     0.00  -0.76092     0.00 
 28.9000 -69.81980     0.00  -0.74871     0.00 
 29.0000 -69.67217     0.00  -0.86094     0.00 
 29.1000 -69.52912     0.00  -0.31066     0.00 
 29.2000 -69.59259     0.00   0.52481     0.00 
 29.3000 -68.97652     0.00   0.69398     0.00 
 29.4000 -69.35422     0.00  -0.38051     0.00 
 29.5000 -69.38313     0.00  -0.58090     0.00 
 29.6000 -70.27144     0.00  -0.14248     0.00 
 29.7000 -70.17923     0.00  -0.84113     0.00 
 29.8000 -70.02341     0.00  -0.43356     0.00 
 29.9000 -69.69918     0.00  -0.40059     0.00 
 30.0000 -69.49975     0.00  -0.09711     0.00 
 30.1000 -69.72040     0.00  -0.68238     0.00 
 30.2000 -69.97949     0.00  -0.52157     0.00 
 30.3000 -70.08503     0.00  -0.88617     0.00 
 30.4000 -70.18493     0.00  -0.70379     0.00 
 30.5000 -70.00263     0.00  -0.42093     0.00 
 30.6000 -70.10815     0.00   0.09146     0.00 
 30.7000 -69.59922     0.00   0.16382     0.00 
 30.8000 -69.52810     0.00   0.05667     0.00 
 30.9000 -69.32391     0.00   0.34896     0.00 
 31.0000 -69.48627     0.00   0.34077     0.00 
 31.1000 -69.25113     0.00   0.04261     0.00 
 31.2000 -69.17699     0.00  -0.43393     0.00 
 31.3000 -68.92723     0.00   0.12781     0.00 
 31.4000 -68.59121     0.00  -0.72325     0.00 
 31.5000 -69.04680     0.00  -0.11839     0.00 
 31.6000 -68.79224     0.00  -0.98344     0.00 
